lens	lenz	n.透镜，镜片；镜头
earn	ə:n	vt.赚得，挣得；获得
knot	nɔt	n.(绳的)结，(树的)节
plan	plæn	n.&vt.计划，打算
bulb	bΛlb	n.电灯泡；球状物
paw	pɔ:	n.脚爪，爪子
nail	neil	n.钉；指甲vt.钉
fire	faiə	n.火；火灾vi.开火
fry	frai	vt.油煎，油炸，油炒
hire	haiə	vt.租借n.租用，雇用
row	rəu	n.(一)排，(一)行
pole	pəul	n.极(点)，磁极，电极
pie	pai	n.(西点)馅饼
clue	klu:	n.线索，暗示，提示
bed	bed	n.床，床位；圃；河床
glow	gləu	n.白热光vi.发白热光
find	faind	vt.找到；发觉；找出
fade	feid	vi.褪色；逐渐消失
dawn	dɔ:n	n.黎明破晓开端vi.破晓逐渐明白
name	neim	n.名字；名誉vt.说出
sew	səu	vt.缝制vi.缝纫
oral	ɔ:rəl	a.口头的；口的
pack	pæk	vt.捆扎；挤满n.包
tag	tæg	n.附加语；标签
body	bɔdi	n.身体；主体；尸体
born	bɔ:n	a.天生的；出生的
cool	ku:l	a.凉的，冷静的
leg	leg	n.腿，腿部
fail	feil	vi.失败；失灵；不能
leap	li:p	vi.跳，跃n.跳跃
wax	wæks	n.蜡，蜂蜡
ox	ɔks	n.牛；公牛，阉牛
loop	lu:p	n.圈，环，环孔
nest	nest	n.巢，窝，穴
sum	sΛm	n.总数；金额vi.共计
bush	buʃ	n.灌木，灌木丛，矮树
lab	læb	n.实验室，研究室
holy	həuli	a.神圣的；圣洁的
cafe	kæfei,kə'fei	n.咖啡馆；小餐厅
lift	lift	vt.提起，提高n.电梯
cat	kæt	n.猫，猫科，猫皮
brow	brau	n.额；眉，眉毛
rid	rid	vt.使摆脱，使去掉
key	ki:	n.钥匙；键；答案
cap	kæp	n.帽子，便帽；帽状物
gift	gift	n.礼物，赠品；天赋
eat	i:t	vt.吃，喝vi.吃饭
far	fa:	a.远的ad.远，遥远
fur	fə:	n.软毛；毛皮，裘皮
beg	beg	vt.&vi.乞求；请求
neck	nek	n.颈，脖子
lord	lɔ:d	n.贵族；上帝，基督
fill	fil	vt.装满，盛满；占满
idea	ai'diə	n.想法；思想；意见
saw	sɔ:	n.锯子vt.锯，锯开
lag	læg	vi.走得慢n.落后
hair	heə	n.头发，毛发；毛
beer	biə	n.啤酒
loss	lɔs	n.遗失；损失；失败
limb	lim	n.肢，臂，翼；树枝
bare	beə	a.赤裸的；仅仅的
open	əupən	a.开的；开放的vt.开
bolt	bəult	n.螺栓；插销vt.闩门
in	in	prep.在…里ad.进，入
car	ka:	n.汽车，小汽车，轿车
me	mi:,mi	pron.(宾格)我
pint	paint	n.品脱
big	big	a.大的，巨大的
mode	məud	n.方式，样式
off	ɔ:f	ad.(离)开；(停)止
call	kɔ:l	vt.把…叫做；叫，喊
atom	ætəm	n.原子；微粒；微量
calm	ka:m	a.静的，平静的
eye	ai	n.眼睛；眼力；鉴赏力
half	ha:f	n.半，一半a.一半的
new	nju:	a.新的；新近出现的
inn	in	n.小旅店；小酒店
law	lɔ:	n.法律，法令；法则
line	lain	n.线；排；路线；线条
bear	beə	n.熊；粗鲁的人
era	iərə	n.时代，年代；纪元
cube	kju:b	n.立方形；立方
cake	keik	n.饼，糕，蛋糕
jury	dʒuəri	n.陪审团；评奖团
hide	haid	vt.把…藏起来；隐瞒
navy	neivi	n.海军
chin	tʃin	n.颏，下巴
red	red	a.红色的n.红色
lazy	leizi	a.懒惰的，懒散的
hold	həuld	vt.拿住；掌握；拥有
pear	peə	n.梨子，梨树
ax	æks	n.斧子
bell	bel	n.钟，铃，门铃；钟声
low	ləu	a.低的，矮的；低下的
her	hə:,hə	pron.(宾格)她；她的
kill	kil	vi.杀死；扼杀；消磨
via	vaiə	prep.经过；通过
food	fu:d	n.食物，食品，养料
bomb	bɔm	n.炸弹vt.轰炸
clap	klæp	vi.拍手vt.拍，轻拍
just	dʒΛst	ad.刚才；只是；正好
even	i:vən	ad.甚至；甚至更，还a.均匀的；平的
raw	rɔ:	a.未煮过的；未加工的
luck	lΛk	n.运气；好运，幸运
lie	lai	vi.说谎，欺骗n.谎话
mile	mail	n.英里
desk	desk	n.书桌办公桌
gun	gΛn	n.枪，炮，手枪
gaze	geiz	vi.凝视，盯，注视
pile	pail	n.堆vt.堆叠，累积
herd	hə:d	n.兽群，牧群vt.放牧
fear	fiə	n.害怕；担心vt.害怕
mix	miks	vt.使混合，混淆
goal	gəul	n.球门；得分；目的
main	mein	a.主要的，最重要的
bad	bæd	a.坏的，恶的；严重的
have	hæv,həv	v.aux.已经vt.有；吃
fox	fɔks	n.狐狸；狡猾的人
go	gəu	vi.去；走；变为
hate	heit	vt.恨，憎恨；不喜欢
fit	fit	vt.适合；安装vi.适合
do	du:	aux.v.vt.&vi.做干办
moon	mu:n	n.月球，月亮；卫星
make	meik	vt.使；做，制造
inch	intʃ	n.英寸
late	leit	a.迟的ad.迟，晚
fast	fa:st	a.快的；偏快的ad.快
know	nəu	vt.知道；认识；通晓
ever	evə	ad.在任何时候；曾经
from	frɔm,frəm,frm	prep.从…来；离开
ear	iə	n.耳朵；听力，听觉
lump	lΛmp	n.团，块；肿块
flag	flæg	n.旗，旗帜；旗舰旗
lend	lend	vt.把…借给，贷(款)
lime	laim	n.石灰
pale	peil	a.苍白的；浅的
ɔil	ɔil	n.油；石油vt.加油于
help	help	vt.帮助；援助n.帮手
I	ai	pron.(主格)我
few	fju:	a.很少的；少数的
pat	pæt	n.&vt.&n.轻拍
pity	piti	n.怜悯；遗憾vt.同情
okay	əu'kei	(缩作OK)a.&ad.对，好
into	intu,'intə	prep.进，入；进入到
map	mæp	n.地图；图；天体图
camp	kæmp	n.野营，营地，兵营
mat	mæt	n.席子；草席；垫子
fun	fΛn	n.乐趣，娱乐；玩笑
else	els	ad.其它，另外a.别的
bite	bait	vt.咬，叮，螫；剌穿
burn	bə:n	vi.烧，燃烧n.烧伤
lock	lɔk	n.锁vt.锁上，锁住
how	hau	ad.怎么；怎样；多少
leak	li:k	vi.漏；泄露n.漏洞
need	ni:d	vt.需要v.aux.需要
hen	hen	n.母鸡，雌禽
God	gɔd	n.神，神像；上帝
hear	hiə	vt.听见；审讯；听说
mild	maild	a.和缓的；温柔的
noon	nu:n	n.正午，中午
lot	lɔt	n.许多，大量；签，阄
kid	kid	n.小孩，儿童，少年
mood	mu:d	n.心情，情绪；语气
firm	fə:m	n.商行，商号，公司
per	pə:	prep.每
bus	bΛs	n.公共汽车
girl	gə:l	n.女孩子，姑娘；女儿
duty	'dju:ti	n.职责责任义务税adj.值班的作为一种义务的
evil	i:vl	n.邪恶；祸害a.坏的
my	mai	pron.我的
hall	hɔ:l	n.门厅；过道；会堂
mill	mil	n.磨坊；制造厂
coal	kəul	n.煤，煤块
rag	ræg	n.破布，碎布，抹布
four	fɔ:	num.四，四个，第四
pop	pɔp	n.流行音乐，流行歌曲
must	mΛst	v.aux.必须；必然要
dew	dju:	n.露露水
baby	beibi	n.婴儿；孩子气的人
feel	fi:l	vi.有知觉vt.触，摸
give	giv	vt.做，作；送给
here	hiə	ad.这里；向这里
bet	bet	vt.&vi.&n.打赌
mist	mist	n.薄雾
rat	ræt	n.老鼠，耗子
pipe	paip	n.管子，导管；烟斗
lawn	lɔ:n	n.草地，草坪，草场
only	əunli	ad.只，仅仅a.唯一的
jɔin	dʒɔin	vt.参加；连接
zoo	zu:	n.动物园拥挤杂乱的地方
hunt	hΛnt	n.打猎；搜寻vt.追猎
once	wΛns	ad.一次；曾经n.一次
dye	dai	vt.染vi.染色n.染料染色
feed	fi:d	vt.喂(养)vi.吃饲料
grow	grəu	vi.生长；变得；增长
bath	ba:θ	n.浴，洗澡；浴缸
lose	lu:z	vt.失去；迷失；输掉
hat	hæt	n.帽子(一般指有边的)
mark	ma:k	n.斑点；记号vt.标明
sow	səu	vt.播(种)vi.播种
dam	dæm	n.水坝水堤障碍物vt.筑坝抑制(情感）等
pine	pain	n.松树，松木
cup	kΛp	n.杯子；(一)杯；奖杯
pond	pɔnd	n.池塘
dose	dəus	n.剂量用量一剂vt.配
path	pa:θ	n.路，小道；道路
past	past	a.过去的n.过去
day	dei	n.(一)天白昼白天
omit	əu'mit	vt.省略，省去；遗漏
leaf	li:f	n.叶，叶子
menu	menju:	n.菜单；饭菜，菜肴
lean	li:n	vi.倾斜，屈身；靠
less	les	a.更少的ad.更少地
pig	pig	n.猪，小猪，野猪
care	keə	vi.关心，介意n.小心
cage	keidʒ	n.笼；鸟笼，囚笼
ours	auəz	pron.我们的
cave	keiv	n.山洞，洞穴，窑洞
exam	ig'zæm	n.考试；检查，细查
poem	pəuim	n.诗，韵文，诗体文
goat	gəut	n.山羊
page	peidʒ	n.页
list	list	n.表，目录n.列举
cent	sent	n.分；分币；百
it	it	pron.这，那，它
mask	ma:sk	n.面具；伪装vt.掩饰
May	mei	n.五月
grey	grei	a.灰色的n.灰色
cell	sel	n.细胞；小房间
lamp	læmp	n.灯
life	laif	n.生命；一生；寿命
fish	fiʃ	n.鱼，鱼肉vi.钓鱼
die	dai	vi.死死亡灭亡n.金属模子印模骰子
plot	plɔt	n.小块土地vt.密谋
acre	eikə	n.英亩(=6.07亩)
oh	əu	int.嗬，哦，唉呀
pea	pi:	n.豌豆；豌豆属植物
both	bəuθ	pron.两者(都)
one	wΛn	num.一pron.一个人
mend	mend	vt.修理，修补，缝补
pork	pɔ:k	n.猪肉
beam	bi:m	n.梁；横梁；束，柱
milk	milk	n.乳，牛奶vt.挤(奶)
eve	i:v	n.前夜，前夕，前一刻
form	fɔ:m	n.形式；形状vt.形成
out	aut	ad.出，在外；现出来
bar	ba:	n.酒吧间；条，杆；栅
let	let	vt.允许，让；使
pace	peis	n.步，步速vi.踱步
bang	bæŋ	n.巨响，枪声；猛击
boat	bəut	n.小船，艇；渔船
play	plei	vi.玩，游戏；演奏
back	bæk	ad.在后；回原处；回
toe	təu	n.脚趾，足尖
wit	wit	n.智力，才智，智能
net	net	n.网，网状物；通信网
grip	grip	vt.握紧，抓牢n.紧握
nose	nəuz	n.鼻子；突出部分
band	bænd	n.乐队；带；波段
not	nɔt	ad.不，没有
bind	baind	vt.捆绑；包扎；装钉
poet	pəuit	n.诗人
hole	həul	n.洞；孔眼，裂开处
mad	mæd	a.发疯的；恼火的
gold	gəuld	n.金；钱财a.金制的
man	mæn	n.男人；人；人类
east	i:st	n.东；东部ad.在东方
cope	kəup	vi.对付，应付
dark	dɑ:k	adj.暗的黑色的n.黑暗暗处
gray	grei	a.灰色的n.灰色
meal	mi:l	n.膳食，一餐
ease	i:z	n.容易，舒适vt.缓和
dive	daiv	vi.跳水潜水俯冲vt.跳水俯冲vi.把...伸入
jazz	dʒæz	n.爵士音乐，爵士舞曲
be	bi:	aux.v.&vi.是，在，做
keep	ki:p	vi.保持；坚持
mere	miə	a.仅仅的；纯粹的
door	dɔ:	n.门通道一家
July	dʒu:'lai	n.七月
him	him	pron.(宾格)他
jump	dʒΛmp	vi.跳；暴涨vt.跳过
drug	drʌg	n.药药物药材毒品vt.下药使...服麻醉药vi.吸毒
buy	bai	vt.买，购买vi.买
fund	fΛnd	n.资金；基金；存款
van	væn	n.大篷车，运货车
farm	fa:m	n.农场，农庄；饲养场
gulf	gΛlf	n.海湾
cow	kau	n.母牛，奶牛；母兽
may	mei	v.aux.可能；可以，祝
palm	pa:m	n.手掌，手心；掌状物
case	keis	n.情况；事实；病例
bow	bau	n.弓；蝴蝶结；鞠躬
jaw	dʒɔ:	n.颌，颚
own	əun	a.自己的vt.有，拥有
bill	bil	n.账单；招贴；票据
kiss	kis	vt.吻vi.接吻n.吻
bake	beik	vt.烤，烘，焙；烧硬
gram	græm	n.克
bury	beri	vt.埋葬，葬；埋藏
note	nəut	n.笔记；便条；注释
crew	kru:	n.全体船员
pair	peə	n.一对vi.成对，配对
old	əuld	a.老的；…岁的
hit	hit	vt.打；碰撞n.击
part	pa:t	n.一部分；零件；本份
cure	kjuə	vt.医治；消除n.治愈
obey	ə'bei	vt.顺从vi.服从
meet	mi:t	vt.遇见vi.相遇
pain	pein	n.痛，疼痛；辛苦
pay	pei	vt.支付；付给；给予
bowl	bəul	n.碗，钵；碗状物
rib	rib	n.肋，肋骨
each	i:tʃ	pron.各，各自a.各
fare	feə	n.车费，船费，票价
home	həum	n.家；家乡a.家庭的
hurt	hə:t	vt.使受伤；使痛心
over	əuvə	prep.在…上方；超过
mud	mΛd	n.软泥，泥浆
ice	ais	n.冰，冰块vt.冰镇
dig	dig	vt.掘挖翻土采掘
hour	auə	n.小时；时间，时刻
end	end	n.末端；目标vt.结束
cord	kɔ:d	n.细绳，粗线，索
kind	kaind	n.种类a.友好的；和蔼的
hot	hɔt	a.热的；刺激的；辣的
pin	pin	n.针，饰针n.别住
fog	fɔg	n.雾；烟雾，尘雾
bird	bə:d	n.鸟，禽
lake	leik	n.湖
boss	bɔs	n.老板，上司vt.指挥
pan	pæn	n.平底锅，盘子
item	aitəm	n.条，条款；一条
owe	əu	vt.欠；应把…归功于
none	nΛn	pron.没有人ad.毫不
keen	ki:n	a.热心的；激烈的
drop	drɔp	vt.使落下降低减少vi.落下减少减弱n.滴微量落下
love	lΛv	vt.爱，喜欢n.爱
mass	mæs	n.众多；团；群众
its	its	pron.它的
by	bai	prep.在…旁；被，由
ore	ɔ:	n.矿，矿石，矿砂
lead	li:d	n.铅，铅制品vt.为…带路；领导
rug	rΛg	n.小地毯；毛毯
lay	lei	vt.置放；铺设；设置
joy	dʒɔi	n.欢乐，喜悦；乐事
fall	fɔ:l	vi.落下；跌倒；陷落
box	bɔks	n.箱，盒；包箱vi.拳击，打拳
harm	ha:m	n.伤害，损害vt.损害
poor	puə	a.贫穷的；贫乏的
mind	maind	n.头脑；理智；记忆
lack	læk	vi.&vi.&n.缺乏，不足
pet	pet	n.爱畜；宠儿a.宠爱的
tap	tæp	n.塞子；龙头vt.开发
card	ka:d	n.卡，卡片，名片
kick	kik	vi.&vt.&n.踢
dog	dɔg	n.狗犬犬科动物卑鄙的人vt.尾随跟踪
nor	nɔ:	conj.也不；不
city	siti	n.城市，都市
gay	gei	a.快乐的；鲜明的
nod	nɔd	vt.点(头)；点头表示
park	pa:k	n.公园；停车场
put	put	vt.放，摆；使处于
film	film	n.影片；胶卷；薄层
bɔil	bɔil	vi.沸腾；汽化vt.煮沸
bit	bit	n.一点，一些，小片
can	kæn	aux.v.能，会，可能n.罐头，听头；容器
or	ɔ:,ə	conj.或，或者；即
blow	bləu	vi.吹，吹动；吹响
mine	main	pron.我的n.矿，矿山；地雷
host	həust	n.主人；东道主
jet	dʒet	n.喷气式飞机；喷嘴
fine	fain	a.美好的；纤细的n.罚金，罚款
nice	nais	a.美好的，令人愉快的
envy	envi	vt.&n.妒忌；羡慕
most	məust	a.最多的ad.最，很
flat	flæt	a.平的，扁平的n.一套房间；单元住宅
heat	hi:t	n.热，炎热vi.变热
pill	pil	n.药丸，丸剂
hero	hiərəu	n.男主角；英雄；勇士
fame	feim	n.名声，名望
dish	diʃ	n.碟盘子菜肴凹形vt.装盘提出揭露挖空vi.闲谈
foot	fut	n.脚；最下部；英尺
tip	tip	vt.轻击vi.给小费
cash	kæʃ	n.现金，现款
bore	bɔ:	vt.使厌烦；钻，挖
bag	bæg	n.袋，包，钱包，背包
boy	bɔi	n.男孩，少年；家伙
fork	fɔ:k	n.餐叉；叉；分叉
boot	bu:t	n.靴子，长统靴
hang	hæŋ	vt.挂，悬；吊死
get	get	vi.变得，成为；到达
ill	il	a.有病的；坏的ad.坏
easy	i:zi	a.容易的；安逸的
log	lɔg	n.原木，木料
book	buk	n.书，书籍vt.预定
fair	feə	a.公平的；相当的
bike	baik	n.自行车vi.骑自行车
deny	di'nai	vt.否定拒绝相信拒绝反对克制
oven	Λvn	n.炉，灶；烘箱
age	eidʒ	vt.变老
fly	flai	n.蝇，苍蝇vi.飞行
his	his	pron.他的，他的东西
fuel	fjuəl	n.燃料vt.给…加燃料
cart	ka:t	n.二轮运货马车
chop	tʃɔp	vt.砍，劈；切细vi.砍
bone	bəun	n.骨，骨骼
hut	hΛt	n.小屋，棚屋
free	fri:	a.自由的；空闲的
bank	bæŋk	n.银行；库；岩，堤
of	ɔv,əv	prep.…的；由于
glue	glu:	n.胶，胶水vt.胶合
plug	plΛg	n.塞子；插头vt.塞
mail	meil	n.邮件vt.邮寄
jam	dʒæm	n.果酱vt.使塞满；使堵塞
male	meil	a.男的，雄的n.男子
drip	drip	vi.滴下漏水n.水滴滴点滴乏味的人
folk	fəulk	n.人们，家属，亲属
hard	ha:d	a.硬的；困难的
bulk	bΛlk	n.物体，容积，大批
claw	klɔ:	n.爪，脚爪，螯
bold	bəuld	a.大胆的；冒失的
comb	kəum	n.梳子vt.梳理
miss	mis	n.小姐vt.未看到；惦念
lid	lid	n.盖子，盖，囊盖
hay	hei	n.干草
gate	geit	n.大门；篱笆门
debt	det	n.债债务欠债负债状态义务罪过失
if	if	conj.假如，如果
pit	pit	n.坑，地坑；煤矿
our	auə	pron.我们的
pot	pɔt	n.锅，壶，罐，盆
belt	belt	n.带，腰带；皮带；区
neat	ni:t	a.整洁的；熟练的
bay	bei	n.湾；山脉中的凹处
plus	plΛs	prep.加，加上a.正的
lest	lest	conj.惟恐，以免
gain	gein	vt.获得；增加n.增进
but	bΛt	conj.但是，可是
edge	edʒ	n.边缘，边；刀口
bond	bɔnd	n.联结，联系；公债
full	ful	a.满的；完全的
many	meni	a.许多的pron.许多人
June	dʒu:n	n.六月
king	kiŋ	n.国王，君主
more	mɔ:	a.更多的ad.更
long	lɔŋ	a.长的；远的ad.长久vi.渴望，极想念
data	'deitə	n.(datum的复数)数据资料
echo	ekəu	n.回声，反响vi.重复
no	nəu	ad.不；并不a.没有
dare	dɛə	vt.&vi.&aux.v.敢竟敢敢于勇于面对n.敢挑战
face	feis	n.脸；表面；外表
next	nekst	a.紧接的；贴近的
hers	hə:z	pron.她的(所有物)
fee	fi:	n.费，酬金；赏金
pad	pæd	n.垫；本子vt.填塞
fact	fækt	n.事实；实际，实情
bend	bend	vt.使弯曲vi.弯曲
beat	bi:t	vt.&vi.打，敲；打败
lap	læp	n.膝部；一圈
hill	hil	n.小山，山岗；丘陵
loan	ləun	n.贷款；暂借vt.借出
bee	bi:	n.蜂，密蜂；忙碌的人
exit	eksit	n.出口；退场vi.退出
horn	hɔ:n	n.号角；警报器；角
fold	fəuld	vt.折叠；合拢n.褶
gang	gæŋ	n.一帮，一伙
noun	naun	n.名词
cry	krai	vi.哭，哭泣；叫喊
crop	krɔp	n.农作物，庄稼；一熟
left	left	a.左边的ad.在左边
heap	hi:p	n.(一)堆；大量
hell	hel	n.地狱；极大的痛苦
