sound	saund	a.健康的；完好的
wheel	wi:l	n.轮，车轮
twin	twin	a.孪生的n.孪生儿
china	tʃainə	n.瓷器，瓷料
annoy	ə'nɔi	vt.使恼怒；打搅
reply	ri'plai	vi.&n.回答，答复
slit	slit	n.裂缝vt.切开，撕开
dying	'daiiŋ	adj.垂死的临终的n.死死亡
choose	tʃu:z	vt.选择，挑选；情愿
belong	bi'lɔŋ	vi.属于，附属
fatal	feitl	a.致命的；命运的
crown	kraun	n.王冠，冕；花冠
assign	ə'sain	vt.指派；分配；指定
suit	sju:t	n.起拆，诉讼【其动词形式为sue】vt.适合
grave	greiv	n.坟墓a.严重的
arise	ə'raiz	vi.出现；由…引起
empire	empaiə	n.帝国
cancer	kænsə	n.癌，癌症，肿瘤
boast	bəust	vi.自夸vt.吹嘘
bitter	bitə	a.痛苦的；严寒的
infer	in'fə:	vt.推论，推断；猜想
broad	brɔ:d	a.宽的，阔的；广泛的
wire	waiə	n.金属线；电缆；电信
crust	krΛst	n.面包皮；硬外皮
range	reindʒ	n.排，行；山脉；范围
doubt	daut	n.怀疑疑虑不信任vt.怀疑不信任vi.不确定
casual	kæʒjuəl	a.偶然的；随便的
wage	weidʒ	vt.开展(运动)
eagle	i:gl	n.鹰
toast	təust	n.烤面包vt.烘，烤
guess	ges	vt.&vi.&n.猜测，推测
behave	bi'heiv	vi.表现，举止；运转
relax	ri'læks	vt.使松弛vi.松弛
curve	kə:v	n.曲线；弯vt.弄弯
weep	wi:p	vi.哭泣，流泪
board	bɔ:d	n.板vt.上(船、车等)
child	tʃaild	n.小孩，儿童；儿子
expand	iks'pænd	vt.扩大；使膨胀
stage	steidʒ	n.舞台；戏剧；阶段
doctor	'dɔktə	n.医生医师博士vt.医治篡改对...做手脚vi.用药
clock	klɔk	n.钟，仪表
assist	ə'sist	vt.援助，帮助；搀扶
brown	braun	n.褐色，棕色
endure	in'djuə	vt.忍受；容忍
grace	greis	n.优美，文雅；雅致
seek	si:k	vt.寻找，探索；试图
vice	vais	n.罪恶；恶习；缺点
litre	li:tə	n.公升
absorb	əb'sɔ:b	vt.吸收；使专心
span	spæn	n.跨距；一段时间
expose	iks'pəuz	vt.使暴露；揭露
brick	brik	n.砖，砖块；砖状物
force	fɔ:s	vt.强迫n.力，力量
critic	kritik	n.批评家，爱挑剔的人
avenue	ævinju:	n.林荫道，道路；大街
brief	bri:f	a.简短的；短暂的
harden	ha:dn	vt.使变硬vi.变硬
stain	stein	vt.沾污；给…着色
place	pleis	n.地方，地点；住所
store	stɔ:	n.贮藏；贮存品；商店
crowd	kraud	n.群；大众；一伙人
trace	treis	n.痕迹；丝毫vt.跟踪
treat	tri:t	vt.对待；处理n.款待
spare	speə	vt.节约a.多余的
glance	gla:ns	vi.看一下n.一瞥
tire	taiə	vi.疲劳，累；厌倦
amuse	ə'mju:z	vt.逗…乐；给…娱乐
sake	seik	n.缘故，理由
border	bɔ:də	n.边，边缘；边界
deepen	'di:pən	vt.加深使...加深使...强烈vi.深化加深变浓
site	sait	n.地点，地基；场所
tray	trei	n.(浅)盘，托盘，碟
movie	mu:vi	n.电影；电影院
cliff	klif	n.悬崖，峭壁
bound	baund	a.一定的；有义务的
upset	Λp'set	vt.弄翻，打翻，倾覆
basic	beisik	a.基本的，基础的
meter	mi:tə	n.计量器，计，表
pause	pɔ:z	n.&vi.中止，暂停
post	pəust	n.邮政，邮寄；邮件
decent	'di:snt	adj.正派的体面的有分寸的得体的相当好的
eighty	eiti	num.八十，八十个
taste	teist	n.味觉，品味
quit	kwit	vt.离开，退出；停止
amaze	ə'meiz	vt.使惊奇，使惊愕
grass	gra:s	n.草；牧草；草地
banana	bə'na:nə	n.香蕉；芭蕉属植物
rural	ruərəl	a.农村的，田园的
metre	mi:tə	n.米，公尺
sail	seil	n.帆；船vi.航行
often	ɔ:fn	ad.经常，常常
empty	empti	a.空的；空洞的
depth	depθ	n.深度深厚深处强度诚挚
loyal	lɔiəl	a.忠诚的，忠心的
rare	reə	a.稀薄的；稀有的
heavy	hevi	a.重的；大的；充满的
eight	eit	num.八，八个，第八
demand	di'mɑ:nd	vt.要求需要询问n.要求需求
novel	nɔvəl	n.小说a.新的
aspect	æspekt	n.方面；样子，外表
gramme	græm	n.克
basis	beisis	n.基础，根据
flower	flauə	n.花，花卉；开花
crime	kraim	n.罪，罪行；犯罪
soak	səuk	vt.浸，泡vi.浸泡
bundle	bΛndl	n.捆，包，束；包袱
peach	pi:tʃ	n.桃子，桃树
ridge	ridʒ	n.脊；岭，山脉；垄
entry	entri	n.入口处；登记；进入
means	mi:nz	n.方法，手段，工具
cause	kɔ:z	n.原因，理由；事业
merit	merit	n.长处，优点；功过
suck	sΛk	vt.吸，吮，啜；吸收
claim	kleim	vt.声称，主张；索取
noble	nəubl	a.贵族的；高尚的
jɔint	dʒɔint	n.接头，接缝；关节
bride	braid	n.新娘
castle	ka:sl	n.城堡；巨大建筑物
garage	gæra:ʒ	n.车库；加油站
ŋegro	ni:grəu	n.黑人
grain	grein	n.谷物，谷粒；颗粒
juice	dʒu:s	n.(水果等)汁，液
never	nevə	ad.永不，决不；不
niece	ni:s	n.侄女，外甥女
forge	fɔ:dʒ	n.熔炉,铁工厂vt.打制,锻造,伪造
spade	speid	n.铲，铁锹
major	meidʒə	a.较大的n.专业
chill	tʃil	vt.使变冷n.寒冷
loose	lu:s	a.松的；宽松的
finish	finiʃ	vt.完成，结束n.结束
curse	kə:s	n.诅咒，咒骂；天谴
tyre	taiə	n.轮胎，车胎
coffee	kɔfi	n.咖啡，咖啡茶
patch	pætʃ	n.补钉；碎片vt.补缀
behalf	bi'ha:f	n.利益，维护，支持
class	kla:s	n.班，班级；阶级
race	reis	n.比赛，竞赛，竞争；人种，种族，民族
build	bild	vt.建筑；建立；创立
favour	feivə	n.好感；赞同；恩惠
slam	slæm	vt.使劲关，砰地放下
glove	glΛv	n.手套
maybe	meibi:	ad.大概，或许；也许
assess	ə'ses	vt.对(财产等)估价
bucket	bΛkit	n.水桶；吊桶；铲斗
naked	neikid	a.裸体的；无遮敝的
punch	pΛntʃ	vt.冲出n.冲压机
guide	gaid	n.导游者vt.给…导游
goose	gu:s	n.鹅，雌鹅
split	split	vt.劈开vi.被劈开
alike	ə'laik	a.同样的，相同的
found	faund	vt.创立，创办；建立
herɔic	hi'rəuik	a.英雄的；英勇的
cinema	sinimə	n.电影院；电影，影片
cruel	kruəl	a.残忍的，残酷的
slice	slais	n.薄片，切片；部分
cheap	tʃi:p	a.廉价的；劣质的
except	ik'sept	prep.除…之外
roar	rɔ:	vi.吼叫；呼喊n.吼
catch	kætʃ	vt.捉住；赶上；领会
heaven	hevn	n.天堂；天，天空
future	fju:tʃə	n.将来，未来；前途
common	kɔmən	a.普通的；共同的
seize	si:z	vt.抓住，逮捕；夺取
price	prais	n.价格，价钱；代价
clear	kliə	a.清晰的vt.清除
tone	təun	n.音；腔调；声调
pray	prei	vt.&vi.请求；祈祷
export	eks'pɔ:t,'ekspɔ:t	vt.输出，出口；运走
nylon	nailən	n.尼龙，耐纶
zone	zəun	n.地区，区域，范围
roast	rəust	vt.&vi.烤，炙，烘
import	im'pɔ:t'impɔ:t	vt.&n.输入，进口
detect	di'tekt	vt.察觉发觉侦察发现探测信息vi.当侦探
frown	fraun	vi.皱眉，蹙额
await	ə'weit	vt.等候，期待
effect	i'fekt	n.结果；效果，效力
paper	peipə	n.纸；官方文件；文章
course	kɔ:s	n.课程；过程；一道菜
camera	kæmərə	n.照相机，摄影机
diary	'daiəri	n.日记日记簿
campus	kæmpəs	n.校园，学校场地
ghost	gəust	n.鬼，灵魂；鬼魂
coach	kəutʃ	n.长途公共汽车
vast	va:st	a.巨大的；大量的
Indian	indiən	a.印度的n.印度人
gross	grəus	a.总的；严重的
magic	mædʒik	n.魔法，巫术；戏法
brass	bra:s	n.黄铜；黄铜器
alter	ɔ:ltə	vt.改变，变更；改做
barber	ba:bə	n.理发师
death	deθ	n.死死亡灭亡死神
brave	breiv	a.勇敢的，华丽的
grant	gra:nt	n.授给物vt.授予
mercy	mə:si	n.仁慈，慈悲，恩惠
ninth	nainθ	num.第九；九分之一
union	ju:njən	n.联合；团结；协会
farmer	fa:mə	n.农民，农夫；农场主
dragon	'drægən	n.龙凶暴的人严厉的人
check	tʃek	vt.检查；制止n.检查
screw	skru:	n.螺旋，螺丝vt.拧紧
sort	sɔ:t	n.种类；类别vt.整理
shift	ʃift	vt.替换，转移n.转换
cargo	ka:gəu	n.船货，货物
height	hait	n.高，高度；高处
nɔisy	nɔizi	a.嘈杂的；喧闹的
friend	frend	n.朋友，友人
creep	kri:p	vi.爬行；缓慢地行进
coast	kəust	n.海岸，海滨(地区)
engage	in'geidʒ	vt.使从事于；聘用
defeat	di'fi:t	vt.战胜击败挫败n.败北失败
radar	reidə	n.雷达，无线电探测器
digest	dai'dʒest	vt.消化领会理解vi.消化n.文摘摘要
wind	waind	vt.绕，缠绕vi.卷曲
every	evri	a.每一的；每隔…的
heart	ha:t	n.心，内心；勇气
route	ru:t	n.路，路线，路程
pinch	pintʃ	vt.捏，拧，掐掉
bridge	bridʒ	n.桥，桥梁；桥牌
silk	silk	n.蚕丝，丝，丝织品
field	fi:ld	n.田野；田；运动场
hardly	ha:dli	ad.几乎不，简直不
cement	si'ment	n.水泥；胶泥vt.粘结
credit	kredit	n.信用贷款；信用
cloudy	klaudi	a.多云的；云一般的
danger	'deindʒə	n.危险危险事物
jewel	dʒu:əl	n.宝石；宝石饰物
could	kud,kəd	aux.v.(can的过去式)
twist	twist	vt.捻；拧vi.&n.扭弯
crash	kræʃ	vi.碰撞，坠落n.碰撞
carry	kæri	vt.携带；运载；传送
rent	rent	n.租金，租vi.出租
worth	wə:θ	a.值…的n.价值
kneel	ni:l	vi.跪，跪下，跪着
royal	rɔiəl	a.王的；皇家的
cream	kri:m	n.奶油，乳脂；奶油色
fellow	feləu	n.人，家伙；伙伴
fruit	fru:t	n.水果；果实；成果
plate	pleit	n.板，片，盘vt.电镀
vague	veig	a.模糊的，含糊的
logic	lɔdʒik	n.逻辑，推理；逻辑性
habit	hæbit	n.习惯；习性
month	mΛnθ	n.月，月份
stake	steik	n.桩；赌金；奖品
pour	pɔ:	vt.灌，倒vi.倾泻
rank	ræŋk	n.排，横行；社会阶层
slide	slaid	vi.滑vt.使滑动n.滑
frame	freim	n.框架，框子；构架
forget	fə'get	vt.忘记，遗忘
stack	stæk	n.堆，垛vt.堆积
lucky	lΛki	a.幸运的；吉祥的
cloth	klɔ:θ	n.布；衣料；桌布
charge	tʃa:dʒ	vt.索价；控告n.费用
brake	breik	n.闸，刹车vi.制动
index	indeks	n.索引；指数；指标
dream	dri:m	n.梦梦想vt.&vi.做梦想象
Bible	baibl	n.基督教《圣经》
health	helθ	n.健康，健康状况
fulfil	ful'fil	vt.履行；满足；完成
orbit	ɔ:bit	n.运行轨道vt.环绕
least	li:st	a.最少的ad.最少
Greek	gri:k	a.希腊的n.希腊人
rust	rΛst	n.锈vi.生锈，氧化
stale	steil	n.陈腐的；走了气的
lever	li:və	n.杆，杠杆；控制杆
factor	fæktə	n.因素；因子，系数
float	fləut	vi.漂浮vt.使漂浮
guard	ga:d	vt.守卫；看守n.卫兵
beard	biəd	n.胡须，络腮胡子
handle	hændl	n.柄，把手vt.拿，触
solve	sɔlv	vt.解答，解释，解决
breath	breθ	n.气息，呼吸；气味
flood	flΛd	n.洪水vt.淹没
tune	tju:n	n.调子；和谐vt.调谐
adjust	ə'dʒΛst	vt.调整，调节；校正
humble	hΛmbl	a.谦逊的；地位低下的
prior	praiə	a.在先的；优先的
wreck	rek	n.失事；残骸vt.破坏
shot	ʃɔt	n.发射；弹丸；射门
human	hju:mən	a.人的，人类的n.人
trim	trim	a.整齐的vt.使整齐
glass	gla:s	n.玻璃；玻璃杯
rigid	ridʒid	a.刚硬的；僵硬的
govern	gΛvən	vt.统治，治理；支配
organ	ɔ:gən	n.器官；机构；管风琴
custom	kΛstəm	n.习惯，风俗；海关
eleven	i'levn	num.十一，十一个
former	fɔ:mə	a.在前的n.前者
march	ma:tʃ	vi.行军；游行示威
match	mætʃ	n.比赛，竞赛；对手
derive	di'raiv	vt.取得得自起源引申于vi.起源
fault	fɔ:lt	n.缺点；过失；故障
outer	autə	a.外部的，外面的
trunk	trΛŋk	n.树干；大衣箱，皮箱
gauge	geidʒ	vt.量，测量n.量器
carpet	ka:pit	n.地毯，毡毯，毛毯
chest	tʃest	n.胸腔，胸膛；箱子
rifle	raifl	n.步枪，来复枪
forbid	fə'bid	vt.禁止，不许；阻止
beach	bi:tʃ	n.海滩，湖滩，河滩
count	kaunt	vt.计算vi.数，计数
merry	meri	a.欢乐的，愉快的
liter	li:tə	n.公升
beside	bi'said	prep.在…旁边
horse	hɔ:s	n.马；马科动物
tame	teim	a.驯服的；顺从的
bullet	bulit	n.枪弹，子弹，弹丸
forth	fɔ:θ	ad.向前；向外，往外
either	aiðə,'i:ðə	pron.(两者)任何一个
silly	sili	a.傻的，愚蠢的
grocer	grəusə	n.食品商；杂货商
fabric	fæbrik	n.织物，纺织品；结构
laugh	la:f	vi.笑，发笑n.笑
define	di'fain	vt.给...下定义限定解释
want	wɔnt	n.需要；缺乏
panel	pænl	n.专门小组；面，板
skim	skim	vt.掠过，擦过；略读
famine	fæmin	n.饥荒；严重的缺乏
swell	swel	vi.膨胀；隆起；增长
yawn	jɔ:n	vi.打呵欠n.呵欠
troop	tru:p	n.军队；一群，大量
seed	si:d	n.种(子)，籽，萌芽
cheer	tʃiə	vt.使振作；欢呼
chase	tʃeis	n.追逐，追赶，追求
chart	tʃa:t	n.图，图表；海图
urban	ə:bən	a.都市的,住在都市的
focus	fəukəs	vi.聚焦，注视n.焦点
torch	tɔ:tʃ	n.火炬，火把；手电筒
fight	fait	vi.打(仗)；斗争
stiff	stif	a.硬的；僵直的
realm	relm	n.王国，国土；领域
ounce	auns	n.盎司，英两
excuse	iks'kju:z,iks'kju:s	vt.原谅；免除n.借口
proof	pru:f	n.证据；证明；校样
cough	kɔf	vi.咳，咳嗽n.咳嗽
fibre	faibə	n.纤维，纤维质
excess	ik'ses,'ekses	n.超越；过量；过度
engine	endʒin	n.发动机，引擎；机车
golden	gəuldən	a.金色的；极好的
pure	pjuə	a.纯粹的；纯洁的
wool	wul	n.羊毛；毛线，绒线
blame	bleim	vt.责备，把…归咎于
scan	skæn	vt.细看；浏览；扫描
button	bΛtn	n.扣子；按钮vt.扣紧
cheque	tʃek	n.支票
decide	di'said	vt.&vi.决定决心解决作出抉择
hobby	hɔbi	n.业余爱好，癖好
famous	feiməs	a.著名的，出名的
unit	ju:nit	n.单位；单元；部件
chalk	tʃɔ:k	n.白垩；粉笔
column	kɔləm	n.柱，支柱，圆柱
minus	mainəs	a.负的prep.减(去)
garden	ga:dn	n.花园，菜园；公园
rail	reil	n.横条，横杆；铁轨
pulse	pΛls	n.脉搏；脉冲，脉动
dress	dres	n.女服童装服装vt.&vi.穿著adj.正式的(衣服)
burst	bə:st	vt.使爆裂vi.&n.爆炸
tend	tend	vt.照管，照料，护理vi.走向，趋向；倾向
fetch	fetʃ	vt.拿来；请来，接去
track	træk	n.行踪；路径；轨道
learn	lə:n	vi.&vt.学，学习
commit	kə'mit	vt.犯(错误);干(坏事)
blast	bla:st	n.爆炸，冲击波vt.炸
attach	ə'tætʃ	vt.缚，系，贴；附加
cancel	kænsəl	vt.取消，撤消；删去
carbon	ka:bən	n.碳
globe	gləub	n.地球，世界；地界仪
utter	Λtə	a.完全的，彻底的vt.发出，说，讲
drink	driŋk	vt.&vi.饮喝喝酒n.饮料
blend	blend	vt.&vi.&n.混和
greet	gri:t	vt.问候，招呼；反应
cabin	kæbin	n.小屋；船舱，机舱
truth	tru:θ	n.真理；真实；真实性
wrap	ræp	vt.裹，包，捆n.披肩
forest	fɔrist	n.森林；森林地带
cease	si:s	vi.&vi.&n.停止，停息
crude	kru:d	a.简陋的；天然的
brand	brænd	n.商品；烙印vt.铭刻
spray	sprei	n.浪花；喷雾vt.喷
behind	bi'haind	prep.在…后面
radio	reidiəu	n.无线电；收音机
haste	heist	n.急速，急忙；草率
extra	ekstrə	a.额外的ad.特别地
candle	kændl	n.蜡烛；烛形物；烛光
money	mΛni	n.货币；金钱，财富
onion	Λnjən	n.洋葱，洋葱头
funny	fΛni	a.古怪的；滑稽的
figure	figə	n.数字；外形；人物
weave	wi:v	vt.织，编vi.纺织
refer	ri'fə:	vt.使求助于vi.谈到
queen	kwi:n	n.王后；女王
China	tʃainə	n.中国
barrel	bærəl	n.桶；圆筒；枪管
mayor	meə	n.市长
emerge	i'mə:dʒ	vi.出现，涌现；冒出
thus	ðΛs	ad.如此，这样；因而
beauty	bju:ti	n.美，美丽；美人
cheat	tʃi:t	vt.骗取；哄vi.行骗
bread	bred	n.面包；食物，粮食
convey	kən'vei	vt.传送；运送；传播
chief	tʃi:f	a.主要的；首席的
yield	ji:ld	vt.&vi.出产n.产量
trial	traiəl	n.试，试验；审判
cloud	klaud	n.云；云状物；阴影
crawl	krɔ:l	vi.爬，爬行
trick	trik	n.诡计；窍门vt.哄骗
dozen	'dʌzn	n.一打十二个adj.一打的十二个的
spite	spait	n.恶意,怨恨,不顾vt.刁难,欺侮
nɔise	nɔiz	n.喧闹声；响声；噪声
father	fa:ðə	n.父亲；神父；创始人
rain	rein	n.雨，雨水vi.下雨
wheat	wi:t	n.小麦
freeze	fri:z	vi.冻；结冻vt.使结冰
first	fə:st	num.第一ad.最初
borrow	bɔrəu	vt.借，借用，借人
aware	ə'weə	a.知道的，意识到的
greedy	gri:di	a.贪吃的；贪婪的
arouse	ə'rauz	vt.引起，唤起；唤醒
point	pɔint	n.点；要点；细目；分
cotton	kɔtn	n.棉；棉线；棉布
weed	wi:d	n.杂草，野草vi.除草
climb	klaim	vi.攀登，爬vt.爬
exact	ig'zækt	a.确切的；精确的
bubble	bΛbl	n.泡vi.冒泡，沸腾
knock	nɔk	vi.&vt.&n.敲，击，打
ending	endiŋ	n.结尾，结局；死亡
touch	tΛtʃ	vt.触摸；触动；感动n.触
shoot	ʃu:t	vt.发射；射中n.发芽
honey	hΛni	n.蜜，蜂蜜；甜，甜蜜
fierce	fiəs	a.凶猛的，狂热的
eighth	eitθ	num.第八n.八分之一
front	frΛnt	a.前面的n.前部
mouth	mauθ	n.嘴，口，口腔
flame	fleim	n.火焰；光辉；热情
battle	bætl	n.战役；斗争vi.作战
early	ə:li	ad.早a.早的，早期的
growth	grəuθ	n.增长；增长量；生长
attain	tein	vt.达到，获得，完成
paste	peist	n.糊，酱；浆湖
divide	di'vaid	vt.分分配分开(组)vi.除分开
