federal	fedərəl	a.联邦的；联盟的
flourish	flΛriʃ	vi.繁荣，茂盛，兴旺
flow	fləu	vi.流动；飘垂；涨潮
flower	flauə	n.花，花卉；开花
fluent	flu(:)ənt	a.流利的，流畅的
fluid	flu(:)id	n.流体，液体
fly	flai	n.蝇，苍蝇vi.飞行
focus	fəukəs	vi.聚焦，注视n.焦点
fog	fɔg	n.雾；烟雾，尘雾
fold	fəuld	vt.折叠；合拢n.褶
folk	fəulk	n.人们，家属，亲属
follow	fɔləu	vt.跟随；结果是
following	fɔləuiŋ	a.接着的；下列的
fond	fɔnd	a.喜爱的；溺爱的
food	fu:d	n.食物，食品，养料
fool	fu:l	n.蠢人，傻子vt.欺骗
foolish	fu:liʃ	a.愚蠢的；鲁莽的
foot	fut	n.脚；最下部；英尺
football	futbɔ:l	n.足球比赛；足球
footstep	futstep	n.脚步；脚步声；足迹
for	fɔ:,fə	prep.为；给；因为
forbid	fə'bid	vt.禁止，不许；阻止
force	fɔ:s	vt.强迫n.力，力量
forecast	fɔ:ka:st	n.预测，预报vt.预示
forehead	fɔrid,'fɔ:hed	n.额头，前部
foreign	fɔrin	a.外国的；外来的
foreigner	fɔrinə	n.外国人
forest	fɔrist	n.森林；森林地带
forever	fə'revə	ad.永远，总是，老是
forge	fɔ:dʒ	n.熔炉,铁工厂vt.打制,锻造,伪造
forget	fə'get	vt.忘记，遗忘
forgive	fə'giv	vt.原谅，饶恕，宽恕
fork	fɔ:k	n.餐叉；叉；分叉
form	fɔ:m	n.形式；形状vt.形成
formal	fɔ:məl	a.正式的；礼仪上的
formation	fɔ:'meiʃən	n.形成；构成；形成物
former	fɔ:mə	a.在前的n.前者
formula	fɔ:mjulə	n.公式，式
forth	fɔ:θ	ad.向前；向外，往外
fortnight	fɔ:tnait	n.两星期，十四天
fortunate	fɔ:tʃənit	a.幸运的，侥幸的
fortunately	fɔ:tʃənitli	ad.幸运地，幸亏
fortune	fɔ:tʃən	n.命运，运气；财产
forty	fɔ:ti	num.四十，第四十
forward	fɔ:wəd	ad.向前；今后，往后
found	faund	vt.创立，创办；建立
foundation	faun'deiʃən	n.基础；地基；基金
fountain	fauntin	n.泉水，喷泉；源泉
four	fɔ:	num.四，四个，第四
fourteen	fɔ:'ti:n	num.十四，第十四
fox	fɔks	n.狐狸；狡猾的人
fraction	frækʃən	n.小部分；片断；分数
fragment	frægmənt	n.碎片，破片，碎块
frame	freim	n.框架，框子；构架
framework	freimwə:k	n.框架，构架，结构
frank	fræŋk	a.坦白的，直率的
free	fri:	a.自由的；空闲的
freedom	fri:dəm	n.自由；自主
freeze	fri:z	vi.冻；结冻vt.使结冰
freight	freit	n.货运；货物；运费
ʃrench	frentʃ	a.法国的n.法国人
frequency	fri:kwənsi	n.屡次；次数；频率
frequent	fri:kwənt	a.时常发生的；经常的
fresh	freʃ	a.新的；新鲜的
friction	frikʃən	n.摩擦，摩擦力
ʃriday	fraidi	n.星期五
fridge	fridʒ	n.电冰箱
friend	frend	n.朋友，友人
friendly	frendli	a.友好的，友谊的
friendship	frendʃip	n.友谊，友好
frighten	fraitn	vt.使惊恐，吓唬
frog	frɔg	n.蛙
from	frɔm,frəm,frm	prep.从…来；离开
front	frΛnt	a.前面的n.前部
frontier	frΛntjə	n.边境；边疆；新领域
frost	frɔst	n.冰冻，严寒；霜
frown	fraun	vi.皱眉，蹙额
fruit	fru:t	n.水果；果实；成果
fruitful	fru:tful	a.多产的；肥沃的
fry	frai	vt.油煎，油炸，油炒
fuel	fjuəl	n.燃料vt.给…加燃料
fulfil	ful'fil	vt.履行；满足；完成
full	ful	a.满的；完全的
fun	fΛn	n.乐趣，娱乐；玩笑
function	fΛŋkʃən	n.功能；职务；函数
fund	fΛnd	n.资金；基金；存款
fundamental	fΛndə'mentl	a.基础的，基本的
funeral	fju:nərəl	n.葬礼，丧礼，丧葬
funny	fΛni	a.古怪的；滑稽的
fur	fə:	n.软毛；毛皮，裘皮
furnace	fə:nis	n.炉子，熔炉；鼓风炉
furnish	fə:niʃ	vt.供应，提供；装备
furniture	fə:nitʃə	n.家具；装置，设备
further	fə:ðə	ad.更远地a.更远的
furthermore	fə:ðə'mɔ:	ad.而且，此外
future	fju:tʃə	n.将来，未来；前途
gain	gein	vt.获得；增加n.增进
gallon	gælən	n.加仑
game	geim	n.游戏；比赛；猎物
gang	gæŋ	n.一帮，一伙
gap	gæp	n.缺口；间隔；差距
garage	gæra:ʒ	n.车库；加油站
garden	ga:dn	n.花园，菜园；公园
gardener	ga:dnə	n.园丁，花匠
gas	gæs	n.煤气；气体；汽油
gaseous	geizjəs	a.气体的，气态的
gasoline	gæsəli:n	n.(美)汽油
gate	geit	n.大门；篱笆门
gather	gæðə	vi.聚集；集合vt.收集
gauge	geidʒ	vt.量，测量n.量器
gay	gei	a.快乐的；鲜明的
gaze	geiz	vi.凝视，盯，注视
general	dʒenərəl	a.总的；一般的n.将军
generally	dʒenərəli	ad.一般地；通常地
generate	dʒenəreit	vt.发生；引起；生殖
generation	dʒenə'reiʃən	n.一代，一代人；产生
generator	dʒenəreitə	n.发电机；发生者
generous	dʒenərəs	a.慷慨的；宽厚的
genius	dʒi:njəs	n.天才，天赋，天资
gentle	dʒentl	a.和蔼的；轻柔的
gentleman	dʒentlmən	n.绅士；有教养的人
genuine	dʒenjuin	a.真的；真正的
geography	dʒi'ɔgrəfi	n.地理，地理学
geometry	dʒi'ɔmitri	n.几何，几何学
germ	dʒə:m	n.微生物，细菌，幼芽
German	dʒə:mən	a.德国的n.德国人
gesture	dʒestʃə	n.姿势，手势；姿态
get	get	vi.变得，成为；到达
ghost	gəust	n.鬼，灵魂；鬼魂
giant	dʒaiənt	n.巨人；巨物
gift	gift	n.礼物，赠品；天赋
girl	gə:l	n.女孩子，姑娘；女儿
give	giv	vt.做，作；送给
glad	glæd	a.高兴的；乐意的
glance	gla:ns	vi.看一下n.一瞥
glass	gla:s	n.玻璃；玻璃杯
glimpse	glimps	vt.瞥见n.一瞥，一看
globe	gləub	n.地球，世界；地界仪
glorious	glɔ:riəs	a.光荣的；壮丽的
glory	glɔ:ri	n.光荣；荣誉的事
glove	glΛv	n.手套
glow	gləu	n.白热光vi.发白热光
glue	glu:	n.胶，胶水vt.胶合
go	gəu	vi.去；走；变为
goal	gəul	n.球门；得分；目的
goat	gəut	n.山羊
God	gɔd	n.神，神像；上帝
gold	gəuld	n.金；钱财a.金制的
golden	gəuldən	a.金色的；极好的
good	gud	a.好的；有本事的
goodbye		int.再见，再会
goods	gudz	n.货物，商品
goose	gu:s	n.鹅，雌鹅
govern	gΛvən	vt.统治，治理；支配
government	gΛvənmənt	n.政府；治理；政治
governor	gΛvənə	n.州长；主管人员
grace	greis	n.优美，文雅；雅致
graceful	greisful	a.优美的，优雅的
grade	greid	vt.给…分等级n.等级
gradual	grædjuəl	a.逐渐的；渐进的
graduate	grædjueit	n.毕业生vi.大学毕业
grain	grein	n.谷物，谷粒；颗粒
gram	græm	n.克
grammar	græmə	n.语法；语法书
grammatical	grə'mætikəl	a.语法上的
gramme	græm	n.克
grand	grænd	a.宏伟的；重大的
grandfather	grændfa:ðə	n.祖父；外祖父
grandmother	grændmΛðə	n.祖母，外祖母
grant	gra:nt	n.授给物vt.授予
grape	greip	n.葡萄；葡萄藤
graph	græf	n.(曲线)图，图表
grasp	gra:sp	vt.抓紧；掌握n.抓
grass	gra:s	n.草；牧草；草地
grateful	greitful	a.感激的；令人愉快的
gratitude	grætitju:d	a.感激，感谢，感恩
grave	greiv	n.坟墓a.严重的
gravity	græviti	n.重力，引力；严重性
gray	grei	a.灰色的n.灰色
great	greit	a.大的；伟大的
greedy	gri:di	a.贪吃的；贪婪的
Greek	gri:k	a.希腊的n.希腊人
green	gri:n	a.绿色的n.绿色
greet	gri:t	vt.问候，招呼；反应
greeting	gri:tiŋ	n.问候，招呼，致敬
grey	grei	a.灰色的n.灰色
grind	graind	vt.磨(碎)；磨快
grip	grip	vt.握紧，抓牢n.紧握
grocer	grəusə	n.食品商；杂货商
gross	grəus	a.总的；严重的
ground	graund	n.地；场地；根据
group	gru:p	n.小组，群vi.聚集
grow	grəu	vi.生长；变得；增长
growth	grəuθ	n.增长；增长量；生长
guarantee	gærən'ti:	n.保证；担保物
guard	ga:d	vt.守卫；看守n.卫兵
guess	ges	vt.&vi.&n.猜测，推测
guest	gest	n.客人，宾客；旅客
guidance	gaidəns	n.引导，指导，领导
guide	gaid	n.导游者vt.给…导游
guilty	gilti	a.内疚的；有罪的
gulf	gΛlf	n.海湾
gum	gΛm	n.口香糖；树胶
gun	gΛn	n.枪，炮，手枪
gym	dʒim	n.体育馆，健身房
gymnasium	dʒim'neizjəm	n.体育馆，健身房
habit	hæbit	n.习惯；习性
hair	heə	n.头发，毛发；毛
half	ha:f	n.半，一半a.一半的
hall	hɔ:l	n.门厅；过道；会堂
halt	hɔ:lt	vi.停止；立定n.停住
hammer	hæmə	n.锤，榔头vt.锤击
hand	hænd	n.手；人手；指针
handful	hændful	n.一把；少数，一小撮
handkerchief	hæŋkətʃif	n.手帕
handle	hændl	n.柄，把手vt.拿，触
handsome	hændsəm	a.英俊的；相当大的
handwriting	hændraitiŋ	n.笔迹，手迹，书法
handy	hændi	a.手边的；便于使用的
hang	hæŋ	vt.挂，悬；吊死
happen	hæpən	vi.发生；碰巧，恰好
happy	hæpi	a.快乐的；幸福的
harbour	ha:bə	n.海港，港口vt.庇护
hard	ha:d	a.硬的；困难的
harden	ha:dn	vt.使变硬vi.变硬
hardly	ha:dli	ad.几乎不，简直不
hardship	ha:dʃip	n.艰难，困苦
hardware	ha:dweə	n.五金器具；硬件
harm	ha:m	n.伤害，损害vt.损害
harmony	ha:məni	n.调合，协调，和谐
harness	ha:nis	vt.治理n.马具，挽具
harsh	ha:ʃ	a.严厉的；刺耳的
harvest	ha:vist	n.收获，收成vt.收割
haste	heist	n.急速，急忙；草率
hat	hæt	n.帽子(一般指有边的)
hate	heit	vt.恨，憎恨；不喜欢
hatred	heitrid	n.憎恶，憎恨，仇恨
have	hæv,həv	v.aux.已经vt.有；吃
hay	hei	n.干草
hazard	hæzəd	n.危险；公害
he	hi:	pron.(主格)他
head	hed	n.头；上端vt.率领
headache	hedeik	n.头痛；头痛的事
heading	hediŋ	n.标题，题词，题名
headline	hedlain	n.大字标题；新闻提要
headquarters	hed'kwɔ:təz	n.司令部；总部
health	helθ	n.健康，健康状况
healthy	helθi	a.健康的；有益健康的
heap	hi:p	n.(一)堆；大量
hear	hiə	vt.听见；审讯；听说
heart	ha:t	n.心，内心；勇气
heat	hi:t	n.热，炎热vi.变热
heaven	hevn	n.天堂；天，天空
heavy	hevi	a.重的；大的；充满的
hedge	hedʒ	n.篱笆，树篱；障碍物
heel	hi:l	n.脚后跟，踵，后跟
height	hait	n.高，高度；高处
helicopter	helikɔptə	n.直升机
hell	hel	n.地狱；极大的痛苦
hello	hə'ləu	int.喂
help	help	vt.帮助；援助n.帮手
helpful	helpful	a.给予帮助的；有用的
helpless	helplis	a.无助的；无能的
hen	hen	n.母鸡，雌禽
hence	hens	ad.因此，所以；今后
her	hə:,hə	pron.(宾格)她；她的
herd	hə:d	n.兽群，牧群vt.放牧
here	hiə	ad.这里；向这里
hero	hiərəu	n.男主角；英雄；勇士
herɔic	hi'rəuik	a.英雄的；英勇的
hers	hə:z	pron.她的(所有物)
herself	hə:'self	pron.她自己；她亲自
hesitate	heziteit	vi.犹豫，踌躇；含糊
hi	hai	ini.嗨(表示问候等)
hide	haid	vt.把…藏起来；隐瞒
high	hai	a.高的；高级的ad.高
highly	haili	ad.高度地，很，非常
highway	haiwei	n.公路；大路
hill	hil	n.小山，山岗；丘陵
hillside	hil'said	n.(小山)山腰，山坡
him	him	pron.(宾格)他
himself	him'self	pron.他自己；他亲自
hint	hint	n.暗示，示意；建议
hire	haiə	vt.租借n.租用，雇用
his	his	pron.他的，他的东西
historical	his'tɔrikəl	a.历史的，有关历史的
history	histəri	n.历史；个人经历
hit	hit	vt.打；碰撞n.击
hobby	hɔbi	n.业余爱好，癖好
hold	həuld	vt.拿住；掌握；拥有
hole	həul	n.洞；孔眼，裂开处
holiday	hɔlədi	n.假日，节日；假期
hollow	hɔləu	a.空的；空洞的
holy	həuli	a.神圣的；圣洁的
home	həum	n.家；家乡a.家庭的
honest	ɔnist	a.诚实的；可敬的
honey	hΛni	n.蜜，蜂蜜；甜，甜蜜
honour	ɔnə	n.光荣；尊敬，敬意
honourable	ɔnərəbl	a.诚实的；光荣的
hook	huk	n.钩，挂钩vt.钩住
hope	həup	n.&vt.&vi.希望
hopeful	həupful	a.有希望的
hopeless	həuplis	a.没有希望的，绝望的
horizon	hə'raizn	n.地平线；眼界，见识
horizontal	hɔri'zɔntl	a.地平的；水平的
horn	hɔ:n	n.号角；警报器；角
horror	hɔrə	n.恐怖；战栗；憎恶
horse	hɔ:s	n.马；马科动物
horsepower	hɔ:spauə	n.马力
hospital	hɔspitl	n.医院
host	həust	n.主人；东道主
hostile	hɔstail	a.敌方的；不友善的
hot	hɔt	a.热的；刺激的；辣的
hotel	həu'tel	n.旅馆
hour	auə	n.小时；时间，时刻
house	haus	n.房屋，住宅；商号
household	haushəuld	n.家庭，户；家务
housewife	hauswaif	n.家庭主妇
how	hau	ad.怎么；怎样；多少
however	hau'evə	ad.然而；不管怎样
huge	hju:dʒ	a.巨大的，庞大的
human	hju:mən	a.人的，人类的n.人
humble	hΛmbl	a.谦逊的；地位低下的
humorous	hju:mərəs	a.富于幽默的，诙谐的
humour	hju:mə	n.幽默，诙谐，幽默感
hundred	hΛndrid	num.百，百个n.许多
hunger	hΛŋgə	n.饿，饥饿；渴望
hungry	hΛŋgri	a.饥饿的；渴望的
hunt	hΛnt	n.打猎；搜寻vt.追猎
hurry	hΛri	vi.赶紧vt.催促
hurt	hə:t	vt.使受伤；使痛心
husband	hΛzbənd	n.丈夫
hut	hΛt	n.小屋，棚屋
hydrogen	haidridʒən	n.氢
I	ai	pron.(主格)我
ice	ais	n.冰，冰块vt.冰镇
ice-cream	ais'kri:m	n.冰淇淋
idea	ai'diə	n.想法；思想；意见
ideal	ai'diəl	a.理想的；观念的
identical	ai'dentikəl	a.完全相同的；同一的
identify	ai'dentifai	vt.认出，识别，鉴定
idle	aidl	a.空闲的；懒散的
if	if	conj.假如，如果
ignorant	ignərənt	a.不知道的；无知的
ignore	ig'nɔ:	vt.不顾，不理，忽视
ill	il	a.有病的；坏的ad.坏
illegal	i'li:gəl	a.不合法的，非法的
illness	ilnis	n.病，疾病
illustrate	iləstreit	vt.(用图等)说明
illustration	iləs'treiʃən	n.说明，图解；例证
image	imidʒ	n.像；形象；映象
imaginary	i'mædʒinəri	a.想象中的，假想的
imagination	imædʒi'neiʃən	n.想象；想象力；空想
imagine	i'mædʒin	vt.想象，设想；料想
imitate	imiteit	vt.模仿，仿效；仿制
immediate	i'mi:djət	a.立即的；直接的
immense	i'mens	a.巨大的；极好的
immigrant	imigrənt	n.移民a.移民的
impact	impækt	n.影响，作用；冲击
impatient	im'peiʃənt	a.不耐烦的，急躁的
implication	impli'keiʃən	n.含义，暗示，暗指
imply	im'plai	vt.暗示，意指
import	im'pɔ:t'impɔ:t	vt.&n.输入，进口
importance	im'pɔ:təns	n.重要；重要性
important	im'pɔ:tənt	a.重要的；有势力的
impose	im'pəuz	vt.把…强加；征(税)
impossible	im'pɔsəbl	a.不可能的，办不到的
impress	im'pres,'impres	vt.给…深刻印象
impression	im'preʃən	n.印；印象；印记
impressive	im'presiv	a.给人印象深刻的
improve	im'pru:v	vt.使更好vi.改善
improvement	im'pru:vmənt	n.改进，改善；改进处
in	in	prep.在…里ad.进，入
inch	intʃ	n.英寸
incident	insidənt	n.发生的事；事件
incline	in'klain	n.斜坡vt.使倾斜
include	in'klu:d	vt.包括，包含
income	inkΛm	n.收入；收益；进款
increase	in'kri:s,'inkri:s	vt.&vi.&n.增加
increasingly	in'kri:siŋli	ad.日益，越来越多地
indeed	in'di:d	ad.真正地；确实
independence	indi'pendəns	n.独立，自主，自立
independent	indi'pendənt	a.独立的；自主的
index	indeks	n.索引；指数；指标
Indian	indiən	a.印度的n.印度人
indicate	indikeit	vt.标示，表示；表明
indication	indi'keiʃən	n.指示；表示；表明
indifferent	in'difrənt	a.冷漠的；不积极的
indirect	indi'rekt	a.间接的；不坦率的
indispensable	indis'pensəbl	a.必不可少的，必需的
individual	indi'vidjuəl	a.个别的；独特的
indoors	in'dɔ:z	ad.在室内，在屋里
industrial	in'dΛstriəl	a.工业的；产业的
industrialize	in'dΛstriəlaiz	vt.使工业化
industry	indəstri	n.工业，产业；勤劳
inevitable	in'evitəbl	a.不可避免的，必然的
infant	infənt	n.婴儿a.婴儿的
infect	in'fekt	vt.传染；感染
infer	in'fə:	vt.推论，推断；猜想
inferior	in'fiəriə	a.下等的；劣等的
infinite	infinit	a.无限的；无数的
influence	influəns	n.影响；势力vt.影响
influential	influ'enʃəl	a.有影响的；有权势的
inform	in'fɔ:m	vt.通知，向…报告
information	infə'meiʃən	n.消息，信息；通知
inhabitant	in'hæbitənt	n.居民，住户
inherit	in'herit	vt.继承(传统等)
initial	i'niʃəl	a.最初的；词首的
injection	in'dʒekʃən	n.注射，注入；充满
injure	indʒə	vt.伤害，损害，损伤
injury	indʒəri	n.损害，伤害；受伤处
ink	iŋk	n.墨水，油墨
inn	in	n.小旅店；小酒店
inner	inə	a.内部的；内心的
innocent	inəsnt	a.清白的，幼稚的
input	input	n.输入；投入的资金
inquire	in'kwaiə	vt.打听，询问；调查
inquiry	in'kwaiəri	n.询问，打听；调查
insect	insekt	n.昆虫，虫
insert	in'sə:t,'insə:t	vt.插入;嵌入;登载
inside	in'said	prep.在…里面n.内部
insist	in'sist	vi.坚持；坚持要求
inspect	in'spekt	vt.检查，审查；检阅
inspire	in'spaiə	vt.鼓舞；给…以灵感
install	in'stɔ:l	vt.安装，设置
installation	instə'leiʃən	n.安装；装置；设施
instance	instəns	n.例子，实例，事例
instant	instənt	n.瞬间a.立即的
instead	in'sted	ad.代替，顶替；反而
instinct	instiŋkt	n.本能；直觉；生性
institute	institju:t	n.研究所；学院
institution	insti'tju:ʃən	n.协会；制度，习俗
instruct	in'strΛkt	vt.教；指示；通知
instruction	in'strΛkʃən	n.命令；教学；教训
instrument	instrumənt	n.仪器；工具；乐器
insult	insΛlt,in'sΛlt	vt.&n.侮辱，凌辱
insurance	in'ʃuərəns	n.保险；保险费
insure	in'ʃuə	vt.给…保险；确保
intellectual	inti'lektjuəl	n.知识分子a.智力的
intelligence	in'telidʒəns	n.智力；理解力；情报
intelligent	in'telidʒənt	a.聪明的；理智的
intend	in'tend	vt.想要，打算；意指
intense	in'tens	a.强烈的；紧张的
intensity	in'tensiti	n.强烈，剧烈；强度
intensive	in'tensiv	a.加强的；精耕细作的
intention	in'tenʃən	n.意图，意向，目的
interaction	intə'rækʃən	n.相互作用；干扰
interest	intrist	n.兴趣；利益；利息
interesting	intristiŋ	a.有趣的，引人入胜的
interfere	intə'fiə	vi.干涉，干预；妨碍
interference	intə'fiərəns	n.干涉，干预；阻碍
interior	in'tiəriə	a.内的；内地的n.内部
intermediate	intə'mi:djət	a.中间的；中级的
internal	in'tə:nl	a.内的；国内的
international	intə(:)'næʃənl	a.国际的，世界(性)的
interpret	in'tə:prit	vt.解释，说明；口译
interpretation	intə:pri'teiʃən	n.解释；口译
interrupt	intə'rΛpt	vt.打断，打扰；中止
interval	intəvəl	n.间隔；休息；间距
interview	intəvju:	n.接见；会见；面谈
intimate	intimit	a.亲密的；个人的
into	intu,'intə	prep.进，入；进入到
introduce	intrə'dju:s	vt.介绍；引进，传入
introduction	intrə'dΛkʃən	n.介绍；引进；引言
invade	in'veid	vt.入侵，侵略；侵袭
invasion	in'veiʒən	n.入侵，侵略；侵犯
invent	in'vent	vt.发明，创造；捏造
invention	in'venʃən	n.发明，创造；捏造
inventor	in'ventə	n.发明者；发明家
invest	in'vest	vt.投资；投入
investigate	in'vestigeit	vt.&vi.调查
investment	in'vestmənt	n.投资，投资额，投入
invisible	in'vizəbl	a.看不见的，无形的
invitation	invi'teiʃən	n.邀请，招待；请柬
invite	in'vait	vt.邀请，聘请；招待
involve	in'vɔlv	vt.使卷入；牵涉
inward	inwəd	a.里面的ad.向内
iron	aiən	n.铁；烙铁vt.烫(衣)
island	ailənd	n.岛，岛屿
isolate	aisəleit	vt.使隔离，使孤立
issue	iʃu:	n.问题；发行vt.发行
it	it	pron.这，那，它
Italian	i'tæljən	a.意大利的n.意大利人
item	aitəm	n.条，条款；一条
its	its	pron.它的
itself	it'self	pron.它自己；自身
jacket	dʒækit	n.短上衣，茄克衫
jam	dʒæm	n.果酱vt.使塞满；使堵塞
January	dʒænjuəri	n.一月
Japanese	dʒæpə'ni:z	a.日本的n.日本人
jar	dʒa:	n.罐子，坛子，广口瓶
jaw	dʒɔ:	n.颌，颚
jazz	dʒæz	n.爵士音乐，爵士舞曲
jealous	dʒeləs	a.妒忌的；猜疑的
jet	dʒet	n.喷气式飞机；喷嘴
jewel	dʒu:əl	n.宝石；宝石饰物
job	dʒob	n.职业；工作；零活
jɔin	dʒɔin	vt.参加；连接
jɔint	dʒɔint	n.接头，接缝；关节
joke	dʒəuk	n.笑话vi.说笑话
journal	dʒə:nl	n.日报，杂志；日志
journey	dʒə:ni	n.旅行，旅程n.旅行
joy	dʒɔi	n.欢乐，喜悦；乐事
judge	dʒΛdʒ	n.法官；裁判员
judgement	dʒΛdʒmənt	n.意见；审判；判断
juice	dʒu:s	n.(水果等)汁，液
July	dʒu:'lai	n.七月
jump	dʒΛmp	vi.跳；暴涨vt.跳过
June	dʒu:n	n.六月
jungle	dʒΛŋgl	n.丛林，密林，莽丛
junior	dʒu:njə	a.年少的n.晚辈
jury	dʒuəri	n.陪审团；评奖团
just	dʒΛst	ad.刚才；只是；正好
justice	dʒΛstis	n.正义，公正；司法
justify	dʒΛstifai	vt.证明…是正当的
keen	ki:n	a.热心的；激烈的
keep	ki:p	vi.保持；坚持
kettle	ketl	n.水壶，水锅
key	ki:	n.钥匙；键；答案
keyboard	kibɔ:d	n.键盘
kick	kik	vi.&vt.&n.踢
kid	kid	n.小孩，儿童，少年
kill	kil	vi.杀死；扼杀；消磨
kilogram	kiləgræm	n.千克，公斤
kilometer	kiləmi:tə	n.千米，公里
kind	kaind	n.种类
kind	kaind	n.种类a.友好的；和蔼的
kindness	kaindnis	n.仁慈，好意
king	kiŋ	n.国王，君主
kingdom	kiŋdəm	n.王国；领域，界
kiss	kis	vt.吻vi.接吻n.吻
kitchen	kitʃin	n.厨房，灶间
knee	ni:	n.膝，膝盖，膝关节
kneel	ni:l	vi.跪，跪下，跪着
knife	naif	n.小刀，刀，餐刀
knock	nɔk	vi.&vt.&n.敲，击，打
knot	nɔt	n.(绳的)结，(树的)节
know	nəu	vt.知道；认识；通晓
knowledge	nɔlidʒ	n.知识，学识；知道
lab	læb	n.实验室，研究室
label	leibl	n.标签；标记，符号
laboratory	lə'bɔrətri	n.实验室，研究室
labour	leibə	n.劳动；工作；劳工
lack	læk	vi.&vi.&n.缺乏，不足
ladder	lædə	n.梯子，梯状物
lady	leidi	n.女士，夫人；贵妇人
lag	læg	vi.走得慢n.落后
lake	leik	n.湖
lamp	læmp	n.灯
land	lænd	n.陆地；土地vi.上岸
landlord	lændlɔ:d	n.地主；房东，店主
lane	lein	n.(乡间)小路；跑道
language	læŋgwidʒ	n.语言，语言课程
lap	læp	n.膝部；一圈
large	la:dʒ	a.大的；巨大的
largely	la:dʒli	ad.大部分；大量地
laser	leizə	n.激光
last	la:st	a.最后的ad.最后vi.持续，持久；耐久
late	leit	a.迟的ad.迟，晚
lately	leitli	ad.最近，不久前
later	leitə	ad.后来；过一会儿
Latin	lætin	a.拉丁的n.拉丁语
latter	lætə	a.(两者中)后者的
laugh	la:f	vi.笑，发笑n.笑
laughter	la:ftə	n.笑，笑声
launch	lɔ:ntʃ	vt.发射，投射；发动
laundry	lɔ:ndri	n.洗衣房，洗衣店
lavatory	lævətəri	n.盥洗室，厕所
law	lɔ:	n.法律，法令；法则
lawn	lɔ:n	n.草地，草坪，草场
lawyer	lɔ:jə	n.律师；法学家
lay	lei	vt.置放；铺设；设置
layer	leiə	n.层，层次；铺设者
layout	leiaut	n.布局，安排，设计
lazy	leizi	a.懒惰的，懒散的
lead	li:d	n.铅，铅制品vt.为…带路；领导
leader	li:də	n.领袖，领导人；首领
leadership	li:dəʃip	n.领导
leading	li:diŋ	a.指导的；最主要的
leaf	li:f	n.叶，叶子
league	li:g	n.同盟，联盟；联合会
leak	li:k	vi.漏；泄露n.漏洞
lean	li:n	vi.倾斜，屈身；靠
leap	li:p	vi.跳，跃n.跳跃
learn	lə:n	vi.&vt.学，学习
learned	lə:nid	a.有学问的；学术上的
learning	lə:niŋ	n.学习；学问，知识
least	li:st	a.最少的ad.最少
leather	leðə	n.皮革；皮革制品
leave	li:v	vi.离去vt.离开
lecture	lektʃə	n.&vi.演讲，讲课
left	left	a.左边的ad.在左边
leg	leg	n.腿，腿部
legal	li:gl	a.法律的；合法的
leisure	leʒə	n.空闲时间；悠闲
lend	lend	vt.把…借给，贷(款)
length	leŋθ	n.长，长度；一段
